Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274894083.33,4817580375.00,5081413541.67,5319458562.50,5386054833.33,5906636791.67,6439687854.17,7253575687.50,7483685770.83,8471006437.50,8992722166.67,8751843187.50,6288245866.67,8086725729.34,12512460519.71,19448348073.46,10117113333.33,9651149301.87,13281767142.86,15565480321.94,18138049095.61,20249694002.45,18525399201.60,17609048821.55,18920840000.00,22278423076.92,21774033333.33,24298032258.06,26579005558.37,28781715188.89,31598340778.22,30957483949.58,31708874594.16,33166519417.99,33768660882.79,37939748768.66,46438484107.58,48244309133.49,49984559471.37,51270569883.53,53369787318.62,53991289844.33,54724081490.51,60158929188.26,65108544250.04,69476001239.42,71795736172.16,79611644974.56,91636997370.98,102475158191.00,115275540051.26,128607482310.36,133310747603.48,149998957434.19,172886611653.79,195146608978.13,265224515675.03,293732446624.60,321362752441.78,351231654603.69,373979442362.19,416271647911.01,460131689083.08,437415333018.29,450119432068.85,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.23,19870000000.00,19342000000.00,16563666666.67,17594944444.44,17155421052.63,20249294117.65,28101000000.00,22555941176.47,21988444444.44,20632090909.09,7628738475.38,8602887622.64,10832064941.65,9709240033.99,18991484420.36,12294964837.62,11316127378.96,15031055046.76,13637098579.11,13245990274.46,14183446025.74,16403043849.83,21144957990.47,26157743368.87,29868657858.01,34380536495.67,44431257128.86,54480684188.44,52023801230.12,50689051382.44,57681293006.97,54297052002.23,55819262374.90,57080897012.11,50765918159.15,53929397039.21,59167647387.61,66097226262.22,68507731353.91,70486877546.49,84374613233.36,90506153293.67,102199231384.54,113343355779.99,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,391577364.08,422181562.19,534081183.68,761132545.10,1042176883.52,1099107600.51,1581709518.98,1989060283.04,2272042965.21,2710160739.19,3493834468.03,3943109531.91,4145421079.79,4247030468.09,4440874566.49,4152376484.04,3470746843.09,3856922694.15,4209834172.87,4393093962.77,4809511005.32,5248911170.21,5402232446.81,5913001063.83,6330627925.53,6651180851.06,6938166755.32,7219407712.77,7031309042.55,7528469148.94,9062898936.17,8976196808.51,9593510638.30,11074813829.79,13150159574.47,15968723404.26,18504760638.30,21730000000.00,25710904255.32,22938218085.11,26805984042.55,29914680851.06,31963404255.32,33823324468.09,34772526595.74,32523297872.34,33884680851.06,37204813829.79,39567978723.40,40446808510.64,35837632978.72,40840212765.96,46458191489.36,46192260638.30,47109734308.51,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169736027.16,190022030.40,212170033.95,237650038.02,266560042.65,300272048.04,346800000.00,398000000.00,453800000.00,538700000.00,539500000.00,573400000.00,590900000.00,670900000.00,632400000.00,596200000.00,642100000.00,713000000.00,832400000.00,1139800100.00,1335300000.00,1426500000.00,1578300000.00,1732800000.00,2041100000.00,2320699900.00,2472500000.00,2713999900.00,2817900000.00,3062000000.00,3166000000.00,3111160000.00,3109000000.00,3092000000.00,3259000000.00,3429000000.00,3609000000.00,6332360000.00,6833220000.00,7683870000.00,8076470000.00,8317830000.00,8881160000.00,8870090000.00,9055290000.00,9836200000.00,10167250000.00,10618340000.00,10526000000.00,9981960000.00,10095760000.00,10070450000.00,10720400000.00,10475300000.00,11139100000.00,11837600000.00,11880900000.00,12446900000.00,12819200000.00,13277000000.00,10363200000.00,12037000000.00,13896800000.00,15271300000.00,15832800000.00,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753478260.87,6122959183.67,4735044707.24,3630668949.83,1255802469.14,1866572953.74,2786045321.64,3671909673.04,4116774300.61,4686256363.05,5567772768.81,5800615374.76,6728220982.88,8498894359.39,10156541220.97,11222796336.54,12864841905.95,15778734264.38,19112796623.12,17613949091.23,17176315803.73,18644233537.11,17226735995.69,18179109209.39,18558734107.15,16404348361.09,17116926553.85,18326373135.61,20484058033.11,20482608984.33,20226038369.92,23672712121.27,24534663636.18,27592361498.41,29613572022.90,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17389558232.93,18404907975.46,16939790093.91,16275073526.98,14931435232.08,13972683273.57,14500437519.83,14128408565.71,15222012660.42,12138486532.02,12736856827.98,12354820143.88,14594900944.77,17825444724.49,23141566292.95,30210091836.83,36961894281.34,45275711995.83,60752106347.13,50873167326.04,57231904542.88,61762382327.93,65685890438.89,75527558966.45,78813069121.00,56454769844.76,47723545321.26,54725405751.16,60031026576.26,64410170653.46,61371673344.74,69673747131.87,73775179924.60,72478760370.43,75961865471.91,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072478.07,29964999.97,31857591.86,33750113.75,36194586.19,40110040.11,44450044.45,47431255.75,44999910.00,47399905.20,53339893.32,59074687.20,65998069.38,78214767.83,103160450.45,118194026.25,97094227.23,117650000.00,136300000.00,151800000.00,257400000.00,260750000.00,248550000.00,262150000.00,290350000.00,287300000.00,311500000.00,371100000.00,421450000.00,491100000.00,546750912.29,596682100.00,695741150.00,752255150.00,771838000.00,818590250.00,850339100.00,872916050.00,929047000.00,999713050.00,1138138100.00,1172045150.00,1243912050.00,1308280250.00,1400202000.00,1474298400.00,1590463100.00,1706190450.00,1738453600.00,1688012750.00,1748988400.00,1831576700.00,1917083500.00,2035191450.00,2138242200.00,2193095150.00,2239604950.00,2266028250.00,2285915050.00,2381187850.00,2047284600.00,2428606250.00,2846604350.00,3052362650.00,3203631800.00,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,72400000.00,76500000.00,80700000.00,82600000.00,92200000.00,98000000.00,115000000.00,134800000.00,150000000.00,164900000.00,186300000.00,211100000.00,235400000.00,269500000.00,312600000.00,345000000.00,386300000.00,447000000.00,475800000.00,517200000.00,613299968.00,739100032.00,785500032.00,889400000.00,985699968.00,1039500032.00,1173500032.00,1296499968.00,1415100032.00,1501500032.00,1592400000.00,1634900000.00,1679900000.00,1820359900.00,1867160100.00,2030750000.00,2695390000.00,2932827000.00,3130748000.00,3324433000.00,3480219000.00,3680483000.00,3937228000.00,4186525000.00,4484703000.00,4868136000.00,6144000000.00,6767000000.00,6980000000.00,6656000000.00,6634526000.00,6312691000.00,6378188000.00,6465756000.00,6413988000.00,6654541000.00,6899911000.00,7142316000.00,7225977000.00,7423465000.00,6887364000.00,7290037000.00,7874381000.00,8579242000.00,9233600000.00,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,377020202.02,410101010.10,448400673.40,482828282.83,544023569.02,604377104.38,669191919.19,755808080.81,857912457.91,929629629.63,1017003367.00,1095622895.62,1257615644.98,1262968515.74,2100249875.06,2404697651.17,2731984008.00,3227436281.86,3758220889.56,4421336382.94,4537479608.48,5891598694.94,5594126368.91,5422656823.38,6169483225.36,5377276554.93,3959382833.13,4347956337.93,4597612362.27,4715973437.44,4867582597.51,5343262457.10,5643868748.68,5734699488.85,5981222858.83,6715161732.23,7396949126.36,7925736821.45,8497494652.13,8285064434.57,8397855484.77,8141516928.39,7905485146.44,8082399639.54,8773451751.51,9549122905.33,11451844902.22,13120108008.35,16674276285.90,17339992193.73,19649723722.10,23963164696.59,27084497481.91,30659338885.67,32996188017.37,33000198248.91,33941126193.92,45927439594.79,48414038842.26,49056643589.00,42313784081.04,47877892402.32,50959081953.69,52340206946.45,54881327452.97,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,17030465539.39,17275940449.38,19231747851.53,23287712878.20,20963733694.97,22465522884.10,28283323733.11,31086389194.96,33930457425.26,37171640818.59,42327664793.69,48869830901.79,58434858374.87,83592275863.00,109794519727.54,129203555238.83,153168949208.21,176344101401.94,200278646123.58,221338204480.22,237393489892.64,258015174748.65,271314113768.42,189656506321.43,188339974086.58,210879844638.88,256480852471.13,283056836893.84,307881930752.27,412990820287.42,390725626002.87,342609231342.78,328187960871.95,368295778245.09,525369851353.74,769333330411.58,850426433004.08,883206452795.12,863711007325.49,599642075004.47,655448188259.35,559983704094.17,509795270685.19,558233724164.71,669289321944.51,891633826625.41,1107626711163.23,1397114247188.89,1695855391757.96,1666996294252.12,2208838108484.35,2616156606579.21,2465228293706.86,2472819362043.74,2456043766032.38,1802211999456.42,1795693265999.04,2063514688805.78,1916933708352.71,1873288158838.63,1476107292151.95,1670647464062.96,1951923832083.87,2191131869706.02,2185821648943.86,
